期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
11028,2011/3/12,1,2,13,17,28,1,4
11029,2011/3/14,3,9,17,24,28,6,12
11030,2011/3/16,15,19,25,30,33,3,8
11031,2011/3/19,12,17,19,22,35,4,11
11032,2011/3/21,7,16,23,31,33,3,10
11033,2011/3/23,3,19,24,29,33,3,9
11034,2011/3/26,3,6,9,17,27,3,9
11035,2011/3/28,3,4,13,15,32,4,9
11036,2011/3/30,3,18,29,30,33,8,9
11037,2011/4/2,1,12,14,22,24,10,12
11038,2011/4/4,7,9,11,13,33,10,12
11039,2011/4/6,1,11,14,22,34,6,8
11040,2011/4/9,3,7,15,18,20,1,6
11041,2011/4/11,4,5,11,13,25,3,6
11042,2011/4/13,6,9,18,30,32,10,12
11043,2011/4/16,2,8,23,33,35,5,10
11044,2011/4/18,11,21,24,26,31,6,7
11045,2011/4/20,13,21,22,29,31,7,11
11046,2011/4/23,9,15,16,19,29,4,6
11047,2011/4/25,2,15,22,33,35,5,8
11048,2011/4/27,13,17,25,27,28,2,3
11049,2011/4/30,5,6,10,22,25,1,9
11050,2011/5/2,4,7,29,32,33,8,10
11051,2011/5/4,6,8,12,17,18,5,10
11052,2011/5/7,13,24,31,32,33,3,9
11053,2011/5/9,3,16,28,31,32,1,9
11054,2011/5/11,5,9,16,26,35,3,10
11055,2011/5/14,1,7,31,32,35,2,10
11056,2011/5/16,3,5,29,30,31,8,10
11057,2011/5/18,7,11,30,31,34,9,12
11058,2011/5/21,1,9,27,32,33,3,6
11059,2011/5/23,9,16,21,29,34,7,10
11060,2011/5/25,3,25,29,32,34,9,10
11061,2011/5/28,6,7,16,18,20,4,10
11062,2011/5/30,6,10,17,20,21,3,7
11063,2011/6/1,10,17,18,26,32,1,5
11064,2011/6/4,1,6,27,30,34,1,6
11065,2011/6/6,3,11,14,25,34,1,4
11066,2011/6/8,6,13,18,20,33,9,10
11067,2011/6/11,10,17,22,24,32,3,10
11068,2011/6/13,1,13,16,18,32,7,9
11069,2011/6/15,3,5,28,29,33,4,12
11070,2011/6/18,9,19,22,29,30,2,8
11071,2011/6/20,27,31,33,34,35,4,6
11072,2011/6/22,3,11,13,20,35,3,8
11073,2011/6/25,13,19,20,22,33,5,11
11074,2011/6/27,7,16,23,28,31,3,6
11075,2011/6/29,6,9,20,23,28,6,10
11076,2011/7/2,18,23,25,29,30,1,2
11077,2011/7/4,5,8,19,33,34,1,12
11078,2011/7/6,4,9,16,27,30,2,6
11079,2011/7/9,1,3,23,30,31,2,10
11080,2011/7/11,5,12,30,31,32,1,3
11081,2011/7/13,4,13,20,21,35,2,9
11082,2011/7/16,7,20,25,30,32,5,9
11083,2011/7/18,6,8,18,20,24,4,8
11084,2011/7/20,14,29,31,34,35,1,12
11085,2011/7/23,2,17,19,21,22,3,10
11086,2011/7/25,4,5,6,9,15,1,6
11087,2011/7/27,6,13,20,25,34,7,9
11088,2011/7/30,20,21,27,29,35,3,8
11089,2011/8/1,5,6,23,27,34,3,4
11090,2011/8/3,2,4,29,30,34,5,8
11091,2011/8/6,11,17,23,29,30,6,8
11092,2011/8/8,10,17,19,32,33,1,12
11093,2011/8/10,4,6,8,19,31,10,11
11094,2011/8/13,11,21,22,32,34,4,8
11095,2011/8/15,9,12,17,19,29,6,11
11096,2011/8/17,3,8,20,24,25,1,2
11097,2011/8/20,4,19,28,31,33,11,12
11098,2011/8/22,6,7,28,33,35,1,10
11099,2011/8/24,2,6,9,12,20,5,8
11100,2011/8/27,8,11,13,28,33,8,9
11101,2011/8/29,5,12,20,28,30,3,7
11102,2011/8/31,19,24,28,31,34,4,12
11103,2011/9/3,3,4,26,29,34,1,3
11104,2011/9/5,7,19,27,28,34,2,5
11105,2011/9/7,2,11,26,32,33,5,12
11106,2011/9/10,1,9,29,30,35,5,9
11107,2011/9/12,2,6,18,30,32,1,8
11108,2011/9/14,7,15,18,24,28,1,7
11109,2011/9/17,1,11,12,22,34,8,10
11110,2011/9/19,30,31,33,34,35,4,7
11111,2011/9/21,2,11,13,23,31,11,12
11112,2011/9/24,6,17,28,32,33,8,12
11113,2011/9/26,4,5,7,10,12,4,5
11114,2011/9/28,6,8,17,27,35,2,11
11115,2011/10/1,17,26,30,31,35,6,11
11116,2011/10/3,10,15,18,19,26,7,12
11117,2011/10/5,10,12,28,32,33,3,5
11118,2011/10/8,4,7,11,32,35,5,7
11119,2011/10/10,4,15,20,26,31,6,12
11120,2011/10/12,20,25,26,30,31,9,10
11121,2011/10/15,2,3,30,31,33,3,9
11122,2011/10/17,3,8,23,24,34,5,12
11123,2011/10/19,10,14,18,19,35,1,6
11124,2011/10/22,8,12,14,20,25,6,8
11125,2011/10/24,7,10,27,34,35,10,12
11126,2011/10/26,7,17,29,30,33,10,12
11127,2011/10/29,1,11,22,26,29,5,8
11128,2011/10/31,3,4,6,11,13,1,2
11129,2011/11/2,1,7,13,18,23,4,8
11130,2011/11/5,8,9,13,23,35,11,12
11131,2011/11/7,3,5,12,18,33,7,11
11132,2011/11/9,12,14,16,19,33,2,9
11133,2011/11/12,4,11,23,26,35,3,12
11134,2011/11/14,1,10,12,14,17,9,10
11135,2011/11/16,6,22,29,33,35,3,12
11136,2011/11/19,8,9,11,19,33,3,12
11137,2011/11/21,2,15,18,23,31,1,2
11138,2011/11/23,17,23,26,30,32,6,12
11139,2011/11/26,4,6,10,15,16,3,4
11140,2011/11/28,1,12,32,33,34,9,11
11141,2011/11/30,2,11,19,22,35,10,12
11142,2011/12/3,4,26,30,33,34,4,6
11143,2011/12/5,8,9,12,25,33,7,10
11144,2011/12/7,7,18,24,28,33,2,3
11145,2011/12/10,7,15,19,24,29,4,6
11146,2011/12/12,9,13,19,29,34,2,11
11147,2011/12/14,1,15,16,27,28,2,7
11148,2011/12/17,7,10,11,26,31,3,4
11149,2011/12/19,2,7,12,29,31,3,5
11150,2011/12/21,13,22,30,33,34,6,12
11151,2011/12/24,7,11,14,20,27,3,10
11152,2011/12/26,1,4,6,21,35,2,11
11153,2011/12/28,6,22,29,30,35,3,5
11154,2011/12/31,4,12,16,20,28,8,11
12001,2012/1/2,7,27,28,32,33,1,12
12002,2012/1/4,3,11,14,26,29,7,8
12003,2012/1/7,16,22,24,33,34,3,10
12004,2012/1/9,10,11,22,31,32,6,7
12005,2012/1/11,1,2,29,31,33,7,12
12006,2012/1/14,3,20,22,25,27,1,9
12007,2012/1/16,4,5,13,17,25,7,10
12008,2012/1/18,6,8,30,31,32,1,11
12009,2012/1/21,6,14,20,29,35,9,10
12010,2012/1/30,25,26,29,32,34,5,7
12011,2012/2/1,5,19,22,29,30,2,4
12012,2012/2/4,6,18,22,30,35,2,7
12013,2012/2/6,7,8,11,12,24,1,2
12014,2012/2/8,10,14,24,30,32,1,12
12015,2012/2/11,12,13,24,26,33,6,8
12016,2012/2/13,5,14,20,29,31,8,12
12017,2012/2/15,6,11,22,29,34,3,12
12018,2012/2/18,3,10,14,29,31,4,8
12019,2012/2/20,7,9,17,30,34,1,12
12020,2012/2/22,12,14,27,29,34,3,6
12021,2012/2/25,10,15,21,31,34,7,8
12022,2012/2/27,7,12,20,33,35,1,10
12023,2012/2/29,7,9,17,29,35,9,10
12024,2012/3/3,3,11,17,21,30,3,7
12025,2012/3/5,1,2,5,12,27,4,7
12026,2012/3/7,10,11,22,23,29,2,9
12027,2012/3/10,3,10,11,22,31,5,7
12028,2012/3/12,10,12,15,33,34,3,10
12029,2012/3/14,4,7,8,18,29,7,10
12030,2012/3/17,3,21,22,26,32,1,3
12031,2012/3/19,19,21,23,25,30,3,8
12032,2012/3/21,7,8,16,26,34,7,11
12033,2012/3/24,8,13,19,27,32,1,8
12034,2012/3/26,1,8,15,16,29,8,9
12035,2012/3/28,1,4,30,32,35,8,12
12036,2012/3/31,1,9,20,30,31,8,12
12037,2012/4/2,9,13,27,31,35,3,10
12038,2012/4/4,11,23,25,31,35,1,3
12039,2012/4/7,15,21,22,24,35,1,5
12040,2012/4/9,2,13,23,28,29,1,5
12041,2012/4/11,1,2,13,22,23,2,10
12042,2012/4/14,7,24,27,28,35,7,12
12043,2012/4/16,1,6,25,31,34,3,9
12044,2012/4/18,3,4,14,32,35,1,2
12045,2012/4/21,5,11,17,20,28,11,12
12046,2012/4/23,4,8,19,23,27,4,11
12047,2012/4/25,5,7,17,30,34,3,10
12048,2012/4/28,6,9,26,30,35,5,6
12049,2012/4/30,9,18,22,27,31,10,12
12050,2012/5/2,13,17,22,28,29,1,10
12051,2012/5/5,1,2,17,18,33,5,12
12052,2012/5/7,10,20,26,31,33,10,12
12053,2012/5/9,11,12,26,28,31,7,12
12054,2012/5/12,1,16,18,27,30,10,11
12055,2012/5/14,7,22,26,32,33,1,8
12056,2012/5/16,11,21,23,26,34,7,9
12057,2012/5/19,1,2,14,33,34,3,5
12058,2012/5/21,13,21,29,31,35,4,12
12059,2012/5/23,9,13,19,21,27,3,4
12060,2012/5/26,2,16,21,24,30,6,10
12061,2012/5/28,5,10,14,27,33,7,9
12062,2012/5/30,21,32,33,34,35,8,9
12063,2012/6/2,11,25,26,29,35,1,2
12064,2012/6/4,9,12,13,15,30,9,10
12065,2012/6/6,10,22,28,29,34,5,11
12066,2012/6/9,1,20,25,29,33,4,6
12067,2012/6/11,20,22,27,30,33,1,2
12068,2012/6/13,1,21,31,32,35,3,6
12069,2012/6/16,2,4,22,25,34,2,11
12070,2012/6/18,9,22,23,32,34,6,8
12071,2012/6/20,13,23,29,31,34,6,8
12072,2012/6/23,4,8,17,22,25,4,10
12073,2012/6/25,18,23,29,33,34,2,7
12074,2012/6/27,10,22,23,30,32,1,7
12075,2012/6/30,7,9,10,18,22,5,10
12076,2012/7/2,2,14,16,22,24,2,5
12077,2012/7/4,10,30,32,33,34,2,3
12078,2012/7/7,1,2,23,25,35,5,12
12079,2012/7/9,1,5,25,32,33,1,10
12080,2012/7/11,11,12,14,25,28,2,5
12081,2012/7/14,10,16,17,30,35,1,8
12082,2012/7/16,2,4,9,10,15,8,10
12083,2012/7/18,16,19,28,29,31,5,8
12084,2012/7/21,21,24,27,29,31,1,2
12085,2012/7/23,7,18,29,31,33,10,12
12086,2012/7/25,3,20,25,29,32,5,10
12087,2012/7/28,1,6,7,21,31,4,11
12088,2012/7/30,13,17,24,30,35,2,10
12089,2012/8/1,6,12,21,29,32,6,11
12090,2012/8/4,2,21,27,29,33,2,10
12091,2012/8/6,3,10,28,31,33,1,9
12092,2012/8/8,8,9,23,25,31,2,12
12093,2012/8/11,2,16,21,31,33,4,11
12094,2012/8/13,2,14,23,32,35,1,10
12095,2012/8/15,6,9,22,27,30,8,12
12096,2012/8/18,5,10,19,24,35,8,9
12097,2012/8/20,9,17,24,29,32,1,2
12098,2012/8/22,2,11,28,29,30,6,12
12099,2012/8/25,12,18,24,25,32,2,12
12100,2012/8/27,7,9,13,19,27,1,3
12101,2012/8/29,2,5,8,9,31,3,7
12102,2012/9/1,2,4,6,13,35,4,8
12103,2012/9/3,2,9,18,23,24,1,4
12104,2012/9/5,16,18,24,25,27,4,9
12105,2012/9/8,5,6,14,15,31,6,8
12106,2012/9/10,15,23,25,29,31,9,10
12107,2012/9/12,4,7,9,22,33,1,3
12108,2012/9/15,6,7,12,24,35,2,6
12109,2012/9/17,1,22,30,32,35,9,11
12110,2012/9/19,1,11,17,19,26,5,12
12111,2012/9/22,1,24,25,30,33,4,11
12112,2012/9/24,1,2,28,31,35,5,7
12113,2012/9/26,3,10,22,27,29,3,12
12114,2012/9/29,3,6,21,33,35,1,7
12115,2012/10/1,1,6,13,19,23,6,9
12116,2012/10/3,1,11,18,20,22,7,10
12117,2012/10/6,1,12,18,21,33,7,8
12118,2012/10/8,5,17,25,30,33,1,12
12119,2012/10/10,5,6,9,19,32,6,9
12120,2012/10/13,2,10,21,23,29,3,4
12121,2012/10/15,7,18,20,29,30,5,6
12122,2012/10/17,23,24,25,29,31,3,12
12123,2012/10/20,5,8,18,30,33,1,9
12124,2012/10/22,7,11,19,20,35,5,10
12125,2012/10/24,6,14,17,22,35,1,2
12126,2012/10/27,13,14,21,28,29,5,10
12127,2012/10/29,12,13,14,25,35,10,12
12128,2012/10/31,9,10,19,30,31,4,11
12129,2012/11/3,1,7,21,28,31,3,9
12130,2012/11/5,14,19,23,29,30,6,7
12131,2012/11/7,2,16,18,27,30,8,12
12132,2012/11/10,5,8,21,25,33,1,11
12133,2012/11/12,5,7,13,29,30,1,5
12134,2012/11/14,1,6,18,32,35,2,7
12135,2012/11/17,3,5,17,18,33,6,7
12136,2012/11/19,2,23,29,30,31,1,4
12137,2012/11/21,3,12,20,21,27,1,6
12138,2012/11/24,13,17,27,31,33,6,12
12139,2012/11/26,9,10,12,22,25,4,11
12140,2012/11/28,7,17,27,28,29,9,10
12141,2012/12/1,3,11,19,23,34,2,12
12142,2012/12/3,15,19,29,34,35,7,10
12143,2012/12/5,9,27,29,30,31,3,6
12144,2012/12/8,11,13,14,21,29,1,10
12145,2012/12/10,5,22,31,33,35,6,9
12146,2012/12/12,1,10,13,17,26,6,8
12147,2012/12/15,2,3,17,19,33,2,9
12148,2012/12/17,4,16,27,29,34,6,11
12149,2012/12/19,2,10,23,33,34,5,10
12150,2012/12/22,2,14,18,24,31,2,3
12151,2012/12/24,3,19,20,24,33,3,4
12152,2012/12/26,4,17,26,33,34,2,8
12153,2012/12/29,8,9,10,13,22,5,10
12154,2012/12/31,3,26,27,31,32,3,9
13001,2013/1/2,6,9,11,31,32,5,11
13002,2013/1/5,4,20,27,31,32,6,12
13003,2013/1/7,1,16,18,21,31,9,12
13004,2013/1/9,7,8,12,20,25,3,7
13005,2013/1/12,18,22,26,28,31,10,12
13006,2013/1/14,8,20,25,31,32,5,7
13007,2013/1/16,14,29,32,33,34,3,6
13008,2013/1/19,2,7,25,29,34,3,6
13009,2013/1/21,10,17,19,27,29,5,12
13010,2013/1/23,9,15,17,18,29,9,11
13011,2013/1/26,1,2,8,15,23,6,9
13012,2013/1/28,1,14,31,32,34,2,11
13013,2013/1/30,13,15,29,30,35,1,11
13014,2013/2/2,5,8,25,29,31,2,4
13015,2013/2/4,14,15,26,32,33,1,11
13016,2013/2/6,5,15,19,27,32,8,9
13017,2013/2/16,11,14,22,29,34,5,11
13018,2013/2/18,20,23,31,33,34,3,9
13019,2013/2/20,6,12,17,29,30,7,11
13020,2013/2/23,6,11,20,31,32,5,9
13021,2013/2/25,23,24,28,30,33,1,11
13022,2013/2/27,3,4,13,17,23,3,8
13023,2013/3/2,5,19,24,26,35,5,7
13024,2013/3/4,9,12,14,18,24,1,4
13025,2013/3/6,3,23,25,26,28,10,12
13026,2013/3/9,2,10,16,30,33,5,6
13027,2013/3/11,3,12,14,24,35,3,8
13028,2013/3/13,13,19,28,30,34,8,12
13029,2013/3/16,5,7,17,25,26,4,10
13030,2013/3/18,3,5,9,10,28,5,7
13031,2013/3/20,12,17,18,26,32,10,11
13032,2013/3/23,12,27,28,33,35,1,8
13033,2013/3/25,12,18,22,28,31,1,11
13034,2013/3/27,1,3,11,19,29,4,8
13035,2013/3/30,5,14,28,32,34,7,8
13036,2013/4/1,8,12,32,33,35,3,5
13037,2013/4/3,2,26,31,32,34,6,8
13038,2013/4/6,1,19,24,25,26,7,9
13039,2013/4/8,6,23,30,33,35,7,10
13040,2013/4/10,16,17,22,26,35,3,10
13041,2013/4/13,3,13,14,15,34,5,8
13042,2013/4/15,2,6,22,23,33,1,6
13043,2013/4/17,7,13,25,34,35,7,9
13044,2013/4/20,7,11,13,18,28,5,10
13045,2013/4/22,8,11,12,21,25,2,7
13046,2013/4/24,15,16,19,25,32,5,11
13047,2013/4/27,12,20,28,30,35,3,11
13048,2013/4/29,10,11,23,32,33,1,4
13049,2013/5/1,18,22,25,31,32,4,6
13050,2013/5/4,14,22,30,32,33,7,8
13051,2013/5/6,5,8,15,18,33,7,8
13052,2013/5/8,1,2,10,29,31,1,10
13053,2013/5/11,13,31,33,34,35,5,7
13054,2013/5/13,5,8,21,30,32,1,8
13055,2013/5/15,4,5,22,23,24,3,9
13056,2013/5/18,11,22,30,32,35,3,4
13057,2013/5/20,7,15,27,33,35,7,10
13058,2013/5/22,20,21,27,31,35,7,11
13059,2013/5/25,3,8,11,24,27,7,12
13060,2013/5/27,15,25,26,32,35,5,10
13061,2013/5/29,1,14,18,21,32,5,10
13062,2013/6/1,1,5,8,9,12,9,12
13063,2013/6/3,3,5,11,27,28,5,6
13064,2013/6/5,21,24,26,28,32,1,3
13065,2013/6/8,9,28,31,34,35,2,9
13066,2013/6/10,6,7,13,33,34,2,11
13067,2013/6/12,2,3,5,8,29,10,12
13068,2013/6/15,10,17,27,34,35,5,7
13069,2013/6/17,6,12,13,16,30,7,12
13070,2013/6/19,9,12,18,21,29,1,8
13071,2013/6/22,13,19,26,27,28,3,11
13072,2013/6/24,12,27,28,33,35,3,5
13073,2013/6/26,3,5,23,27,31,2,6
13074,2013/6/29,6,14,20,24,32,1,7
13075,2013/7/1,1,11,13,19,35,7,8
13076,2013/7/3,13,15,16,26,27,9,10
13077,2013/7/6,24,26,30,32,35,6,12
13078,2013/7/8,2,7,23,31,33,2,8
13079,2013/7/10,9,10,17,21,34,1,7
13080,2013/7/13,6,21,23,27,31,4,6
13081,2013/7/15,7,9,15,17,23,2,7
13082,2013/7/17,3,9,25,26,33,3,12
13083,2013/7/20,26,29,30,32,35,4,10
13084,2013/7/22,8,22,26,29,35,1,5
13085,2013/7/24,8,19,23,27,32,3,5
13086,2013/7/27,9,16,26,29,31,6,9
13087,2013/7/29,9,12,22,32,34,2,4
13088,2013/7/31,3,5,8,33,35,1,3
13089,2013/8/3,6,7,23,24,29,4,11
13090,2013/8/5,2,26,30,31,33,11,12
13091,2013/8/7,4,9,28,34,35,2,8
13092,2013/8/10,7,10,21,27,33,3,9
13093,2013/8/12,1,5,17,18,26,5,7
13094,2013/8/14,3,28,33,34,35,6,9
13095,2013/8/17,3,17,28,30,33,1,10
13096,2013/8/19,17,19,20,22,26,6,8
13097,2013/8/21,7,8,13,17,32,3,8
13098,2013/8/24,2,6,16,29,34,10,11
13099,2013/8/26,4,11,28,30,33,5,12
13100,2013/8/28,9,12,24,26,30,5,9
13101,2013/8/31,4,9,13,15,32,2,9
13102,2013/9/2,6,12,15,19,26,2,11
13103,2013/9/4,5,8,13,16,31,3,9
13104,2013/9/7,2,5,11,27,29,1,11
13105,2013/9/9,7,13,27,30,34,1,12
13106,2013/9/11,6,7,12,13,27,3,12
13107,2013/9/14,7,13,14,18,25,5,12
13108,2013/9/16,5,10,13,15,18,2,11
13109,2013/9/18,13,20,26,29,32,2,6
13110,2013/9/21,7,16,18,32,33,2,7
13111,2013/9/23,7,12,13,20,27,1,3
13112,2013/9/25,2,10,20,22,29,5,12
13113,2013/9/28,19,21,23,28,30,8,12
13114,2013/9/30,6,17,21,23,33,1,9
13115,2013/10/2,5,16,29,32,34,4,11
13116,2013/10/5,13,22,23,30,33,9,11
13117,2013/10/7,5,16,23,25,33,7,12
13118,2013/10/9,4,6,11,20,31,1,5
13119,2013/10/12,1,2,16,23,35,1,11
13120,2013/10/14,6,14,15,22,26,3,11
13121,2013/10/16,3,18,19,20,24,3,12
13122,2013/10/19,15,17,20,24,35,4,12
13123,2013/10/21,2,9,10,33,34,5,12
13124,2013/10/23,5,7,18,21,32,10,11
13125,2013/10/26,4,8,14,23,28,4,8
13126,2013/10/28,9,10,15,18,30,3,6
13127,2013/10/30,3,14,16,19,32,5,10
13128,2013/11/2,11,13,27,33,35,1,2
13129,2013/11/4,11,23,29,30,33,1,4
13130,2013/11/6,8,9,15,19,30,6,9
13131,2013/11/9,12,15,29,30,31,4,12
13132,2013/11/11,23,26,28,31,34,2,10
13133,2013/11/13,2,8,10,16,17,9,12
13134,2013/11/16,2,13,19,23,32,2,9
13135,2013/11/18,4,13,19,25,26,7,12
13136,2013/11/20,5,11,15,25,28,5,11
13137,2013/11/23,4,12,32,33,34,6,8
13138,2013/11/25,3,8,13,17,24,7,9
13139,2013/11/27,5,6,18,20,31,6,7
13140,2013/11/30,1,12,17,26,28,1,6
13141,2013/12/2,5,15,18,25,31,8,10
13142,2013/12/4,6,11,25,28,29,4,12
13143,2013/12/7,3,8,14,21,31,6,8
13144,2013/12/9,3,20,21,23,35,2,8
13145,2013/12/11,2,13,15,18,20,2,11
13146,2013/12/14,6,7,15,25,31,1,9
13147,2013/12/16,3,9,22,24,25,5,9
13148,2013/12/18,2,5,9,29,32,3,7
13149,2013/12/21,6,7,8,9,13,5,7
13150,2013/12/23,6,7,14,18,22,8,11
13151,2013/12/25,2,13,21,27,30,3,4
13152,2013/12/28,9,12,14,18,19,3,9
13153,2013/12/30,4,5,16,17,30,3,9
14001,2014/1/1,5,13,20,23,29,8,11
14002,2014/1/4,1,12,21,24,29,1,7
14003,2014/1/6,7,11,13,21,33,5,6
14004,2014/1/8,7,10,19,27,28,9,12
14005,2014/1/11,15,17,18,29,33,4,8
14006,2014/1/13,1,4,7,16,35,6,8
14007,2014/1/15,8,11,14,21,32,3,11
14008,2014/1/18,11,13,20,28,35,1,5
14009,2014/1/20,10,18,25,29,33,7,8
14010,2014/1/22,5,10,20,26,27,1,3
14011,2014/1/25,4,6,14,24,35,7,12
14012,2014/1/27,9,20,21,23,29,5,7
14013,2014/1/29,10,11,13,22,28,4,12
14014,2014/2/8,1,9,11,27,29,3,11
14015,2014/2/10,4,6,18,20,30,5,7
14016,2014/2/12,4,6,13,24,34,4,9
14017,2014/2/15,5,10,11,23,34,1,10
14018,2014/2/17,8,9,12,28,34,2,12
14019,2014/2/19,7,12,22,29,32,11,12
14020,2014/2/22,1,14,17,30,35,6,7
14021,2014/2/24,6,10,17,23,24,3,9
14022,2014/2/26,3,6,10,16,25,10,11
14023,2014/3/1,4,13,15,29,33,5,9
14024,2014/3/3,7,11,15,31,32,6,11
14025,2014/3/5,19,20,27,32,34,6,8
14026,2014/3/8,5,10,12,15,26,4,8
14027,2014/3/10,9,10,24,28,29,10,12
14028,2014/3/12,3,10,20,25,30,10,12
14029,2014/3/15,3,21,22,23,35,5,9
14030,2014/3/17,3,14,18,29,35,11,12
14031,2014/3/19,6,15,27,32,33,3,4
14032,2014/3/22,2,5,6,9,31,2,9
14033,2014/3/24,1,7,8,28,29,4,8
14034,2014/3/26,3,11,14,27,32,5,7
14035,2014/3/29,9,12,14,28,29,3,10
14036,2014/3/31,1,2,12,17,29,3,8
14037,2014/4/2,3,4,8,19,34,2,4
14038,2014/4/5,7,8,12,20,32,3,5
14039,2014/4/7,2,5,11,15,20,8,11
14040,2014/4/9,12,15,21,30,33,2,8
14041,2014/4/12,5,7,11,15,18,5,12
14042,2014/4/14,16,21,25,27,35,6,11
14043,2014/4/16,1,11,23,29,30,1,12
14044,2014/4/19,22,23,25,27,35,3,11
14045,2014/4/21,6,10,12,16,30,2,11
14046,2014/4/23,3,15,18,21,26,1,6
14047,2014/4/26,6,17,18,30,34,6,12
14048,2014/4/28,1,2,5,15,35,1,11
14049,2014/4/30,3,15,17,22,31,3,5
14050,2014/5/3,10,18,27,28,35,1,6
14051,2014/5/5,1,7,11,29,30,3,11
14052,2014/5/7,14,19,21,24,30,2,7
14053,2014/5/10,2,11,17,27,30,3,4
14054,2014/5/12,2,3,20,25,34,1,12
14055,2014/5/14,4,23,26,27,35,10,11
14056,2014/5/17,12,18,28,29,35,7,8
14057,2014/5/19,8,10,20,27,33,1,9
14058,2014/5/21,9,15,22,24,26,2,7
14059,2014/5/24,7,15,17,25,29,4,11
14060,2014/5/26,12,22,29,30,34,5,11
14061,2014/5/28,4,11,17,20,29,6,10
14062,2014/5/31,4,7,17,24,25,2,4
14063,2014/6/2,11,17,21,23,34,3,4
14064,2014/6/4,8,15,33,34,35,1,8
14065,2014/6/7,7,12,19,31,33,7,12
14066,2014/6/9,8,14,16,20,31,3,11
14067,2014/6/11,3,18,23,24,31,3,7
14068,2014/6/14,5,15,24,29,35,5,6
14069,2014/6/16,16,22,27,29,31,2,9
14070,2014/6/18,1,2,7,10,32,4,12
14071,2014/6/21,4,14,15,22,23,1,7
14072,2014/6/23,17,19,22,24,30,2,9
14073,2014/6/25,4,5,7,13,35,5,6
14074,2014/6/28,6,11,22,27,30,5,11
14075,2014/6/30,5,7,29,32,35,4,10
14076,2014/7/2,5,10,19,31,32,9,10
14077,2014/7/5,9,16,26,31,32,1,5
14078,2014/7/7,10,15,16,22,28,4,5
14079,2014/7/9,9,10,20,31,32,6,10
14080,2014/7/12,17,20,23,25,27,3,10
14081,2014/7/14,3,5,8,10,25,9,12
14082,2014/7/16,1,8,18,23,25,8,12
14083,2014/7/19,18,20,24,33,35,5,10
14084,2014/7/21,2,7,9,11,28,5,9
14085,2014/7/23,6,12,13,25,29,11,12
14086,2014/7/26,6,8,27,29,35,3,9
14087,2014/7/28,4,7,31,33,35,9,10
14088,2014/7/30,7,13,20,25,26,8,11
14089,2014/8/2,2,8,12,29,30,7,12
14090,2014/8/4,2,3,20,23,28,6,8
14091,2014/8/6,10,16,18,29,32,2,7
14092,2014/8/9,2,18,27,30,32,5,11
14093,2014/8/11,3,8,30,32,34,9,11
14094,2014/8/13,13,14,24,25,34,4,7
14095,2014/8/16,6,22,30,31,34,5,6
14096,2014/8/18,3,7,21,23,31,5,10
14097,2014/8/20,3,15,20,21,23,7,9
14098,2014/8/23,16,18,22,25,35,3,10
14099,2014/8/25,15,21,22,23,33,1,7
14100,2014/8/27,2,4,8,12,35,1,7
14101,2014/8/30,9,10,12,17,28,3,11
14102,2014/9/1,1,7,14,19,20,3,12
14103,2014/9/3,14,20,23,25,26,10,12
14104,2014/9/6,7,13,14,28,32,4,11
14105,2014/9/8,4,10,26,29,32,4,8
14106,2014/9/10,5,9,11,20,22,5,11
14107,2014/9/13,5,13,14,21,34,8,10
14108,2014/9/15,1,2,13,23,35,9,12
14109,2014/9/17,15,18,20,21,23,1,2
14110,2014/9/20,9,18,19,22,24,8,11
14111,2014/9/22,11,16,18,20,29,3,4
14112,2014/9/24,3,5,14,18,32,2,10
14113,2014/9/27,2,13,17,19,23,1,6
14114,2014/9/29,3,16,24,30,33,5,8
14115,2014/10/1,1,5,26,29,30,2,10
14116,2014/10/4,6,13,15,24,27,4,5
14117,2014/10/6,3,14,17,18,33,6,9
14118,2014/10/8,2,3,23,24,26,5,11
14119,2014/10/11,4,8,9,13,18,8,12
14120,2014/10/13,1,4,6,18,33,5,11
14121,2014/10/15,13,16,18,22,32,8,10
14122,2014/10/18,3,10,25,26,35,1,7
14123,2014/10/20,1,9,12,22,25,2,9
14124,2014/10/22,1,3,28,29,35,8,12
14125,2014/10/25,12,15,19,23,31,4,10
14126,2014/10/27,2,9,22,30,34,9,10
14127,2014/10/29,2,4,6,15,19,2,11
14128,2014/11/1,2,4,16,22,34,8,11
14129,2014/11/3,7,22,28,30,32,5,6
14130,2014/11/5,2,18,31,32,33,5,7
14131,2014/11/8,3,16,19,23,27,3,7
14132,2014/11/10,1,3,4,19,32,1,7
14133,2014/11/12,2,8,12,14,18,4,12
14134,2014/11/15,2,5,7,11,32,9,12
14135,2014/11/17,20,26,28,30,35,9,12
14136,2014/11/19,4,18,20,34,35,7,11
14137,2014/11/22,2,11,16,22,34,2,5
14138,2014/11/24,1,7,29,32,34,9,12
14139,2014/11/26,3,5,7,15,34,1,10
14140,2014/11/29,1,19,20,25,34,7,12
14141,2014/12/1,4,17,20,26,29,5,8
14142,2014/12/3,18,21,25,28,30,4,6
14143,2014/12/6,1,11,14,18,25,6,10
14144,2014/12/8,1,21,24,25,35,4,11
14145,2014/12/10,15,19,22,24,26,10,11
14146,2014/12/13,2,16,23,24,28,10,11
14147,2014/12/15,5,9,14,26,34,2,9
